page,kanji,hirigana,definition
4,伝説,でんせつ,tradition; legend; folklore
4,遺す,のこす,"to leave (behind, over); to bequeath; to save; to reserve"
4,幾人,いくにん,number of people
4,かかげる,,to hoist;
4,憧れる,あこがれる,to long for; to yearn after; to admire; to be attracted by
4,慕う,したう,to adore; (2) to follow (someone); (3) to idolize
4,怒り,いかり,anger; rage; fury; wrath; indignation
4,囚われ,とらわれ,imprisonment; captive
5,求め,もとめ,request; appeal; claim; demand
5,意気揚々,いきようよう,triumphant; exultant; in high and proud spirits
5,航海,こうかい,voyage; navigation; sailing; passage; cruise;
5,救い出す,すくいだす,to rescue; to free
5,悪名高き,あくめいたかき,infamous; notorious
5,向かう,むかう,to face; (2) to go towards; to head towards
5,連れ去る,つれさる,to take away; to kidnap;
5,はなればなれに,,
5,遭難者,そうなんしゃ,victim; sufferer
5,一味,いちみ,clan; partisans; conspirators; gang; crew
5,辿り着く,たどりつく,to arrive at (after a struggle); to finally reach; to find one's way to
5,専門,せんもん,specialty; subject of study; expert;
5,泥棒,どろぼう,thief; burglar; robber; theft;
5,出会う,であう,to meet (by chance); to come across; to run across; to encounter; to happen upon;
5,面倒くさい,めんどくさい,bothersome; tiresome; bother to do
5,巻き込む,まきこむ,to involve; to drag into;
5,予感,よかん,to have a premonition; to have a hunch;
7,魔性,ましょう,devilishness
8,組む,くむ,to unite; to join; to link up; to form an alliance
8,儲かる,もうかる,to be profitable; to yield a profit;
9,宝石,ほうせき,gem; jewel; precious stone
10,,,
10,手違い,てちがい,mistake; blunder; slipup
10,保管,ほかん,charge; custody; safekeeping; deposit; storage
10,つけっぱなし,,leaving something engaged (e.g. a key in a lock)
11,誤解,ごかい,misunderstanding
12,用意,ようい,preparation; arrangements; provision; getting ready
13,吹き飛ばす,ふきとばす,to blow away; to blow off; to blow up;
13,取り返す,とりかえす,to regain; to recover; to get back
13,回収,かいしゅう,collection; recovery; withdrawal; retrieval;
13,さっさと,,promptly; immediately; quickly; without delay;
14,避難,ひなん,taking refuge; finding shelter; evacuation; escape;
